time,open,high,low,close,count,avg,upArrow2,dnArrow2,upArrow2r,dnArrow2r
2024-07-18 11:36:00,7.35,7.35,7.25,7.3,0.0,0.0,False,True,False,True
2024-07-18 11:40:00,6.63,6.7,6.49,6.49,0.0,0.0,False,True,False,True
2024-07-18 11:58:00,6.6,6.6,6.6,6.6,0.0,0.0,False,True,False,True
2024-07-18 12:04:00,7.06,7.06,7.06,7.06,0.0,0.0,True,False,True,False
2024-07-18 12:07:00,6.63,6.64,6.62,6.64,0.0,0.0,False,True,False,True
2024-07-18 12:17:00,6.07,6.07,6.07,6.07,0.0,0.0,False,True,False,True
2024-07-18 13:11:00,5.3,5.3,5.3,5.3,0.0,0.0,False,True,False,True
2024-07-18 13:17:00,5.05,5.05,5.0,5.0,0.0,0.0,False,True,False,True
2024-07-18 13:21:00,4.93,4.93,4.93,4.93,0.0,0.0,False,True,False,True
2024-07-18 13:24:00,4.8,4.8,4.8,4.8,0.0,0.0,False,True,False,True
2024-07-18 13:33:00,5.0,5.0,5.0,5.0,0.0,0.0,False,True,False,True
2024-07-18 15:14:00,6.0,6.0,6.0,6.0,0.0,0.0,True,False,True,False
2024-07-18 15:25:00,6.0,6.0,6.0,6.0,0.0,0.0,True,False,True,False
2024-07-18 15:41:00,5.0,5.0,4.95,4.95,0.0,0.0,False,True,False,True
2024-07-18 16:00:00,4.6,4.6,4.6,4.6,0.0,0.0,False,True,False,True
2024-07-19 09:33:00,5.8,5.8,5.55,5.55,0.0,0.0,True,False,True,False
2024-07-19 09:36:00,4.95,5.25,4.95,5.15,0.0,0.0,False,True,False,True
2024-07-19 09:38:00,5.45,5.55,5.45,5.55,0.0,0.0,True,False,True,False
2024-07-19 09:42:00,4.73,4.75,4.73,4.75,0.0,0.0,False,True,False,True
2024-07-19 09:51:00,4.65,4.65,4.58,4.58,0.0,0.0,False,True,False,True
2024-07-19 09:55:00,4.69,4.69,4.69,4.69,0.0,0.0,True,False,True,False
2024-07-19 10:00:00,5.0,5.02,5.0,5.02,0.0,0.0,True,False,True,False
2024-07-19 10:04:00,5.31,5.31,5.31,5.31,0.0,0.0,True,False,True,False
2024-07-19 10:15:00,5.33,5.33,5.33,5.33,0.0,0.0,True,False,True,False
2024-07-19 10:18:00,4.86,4.91,4.86,4.91,0.0,0.0,False,True,False,True
2024-07-19 10:25:00,5.17,5.17,5.17,5.17,0.0,0.0,True,False,True,False
2024-07-19 10:30:00,5.75,5.75,5.75,5.75,0.0,0.0,True,False,True,False
2024-07-19 10:33:00,5.8,5.8,5.8,5.8,0.0,0.0,True,False,True,False
2024-07-19 10:45:00,6.1,6.1,6.1,6.1,0.0,0.0,True,False,True,False
2024-07-19 10:51:00,5.65,5.65,5.65,5.65,0.0,0.0,False,True,False,True
2024-07-19 10:54:00,5.65,5.65,5.65,5.65,0.0,0.0,False,True,False,True
2024-07-19 10:57:00,5.4,5.4,5.4,5.4,0.0,0.0,False,True,False,True
2024-07-19 11:00:00,5.32,5.33,5.3,5.3,0.0,0.0,False,True,False,True
2024-07-19 11:02:00,5.1,5.1,5.1,5.1,0.0,0.0,False,True,False,True
2024-07-19 12:02:00,5.2,5.2,5.2,5.2,0.0,0.0,False,True,False,True
2024-07-19 12:33:00,5.75,5.75,5.75,5.75,0.0,0.0,True,False,True,False
2024-07-19 12:43:00,6.05,6.05,6.05,6.05,0.0,0.0,True,False,True,False
2024-07-19 12:49:00,6.29,6.29,6.29,6.29,0.0,0.0,True,False,True,False
2024-07-19 13:04:00,6.28,6.28,6.25,6.25,0.0,0.0,True,False,True,False
2024-07-19 13:13:00,6.54,6.54,6.54,6.54,0.0,0.0,True,False,True,False
2024-07-19 14:45:00,6.6,6.6,6.6,6.6,0.0,0.0,True,False,True,False
2024-07-19 15:02:00,6.05,6.06,6.05,6.05,0.0,0.0,False,True,False,True
2024-07-19 15:08:00,5.9,5.9,5.86,5.86,0.0,0.0,False,True,False,True
2024-07-19 15:20:00,5.86,5.86,5.86,5.86,0.0,0.0,False,True,False,True
2024-07-19 15:25:00,5.9,5.9,5.83,5.84,0.0,0.0,False,True,False,True
