time,open,high,low,close,Volume,upArrow2,dnArrow2
2024-03-04 15:45:00,444.7,444.7,443.81,443.97,173283,False,True
2024-03-05 10:45:00,435.95,436.48,435.55,435.55,119452,False,True
2024-03-05 15:10:00,434.28,434.48,433.88,433.88,147325,False,True
2024-03-06 15:10:00,438.65,438.97,437.71,437.88,62635,False,True
2024-03-07 11:20:00,444.46,444.94,444.38,444.92,52521,True,False
2024-03-08 09:55:00,447.06,447.51,447.0,447.46,103405,True,False
2024-03-08 12:05:00,442.57,443.09,441.45,441.73,163765,False,True
2024-03-11 09:30:00,437.51,437.84,435.84,435.99,471736,False,True
2024-03-12 14:30:00,442.91,443.29,442.83,443.051,98565,True,False
2024-03-14 15:05:00,438.1,438.18,437.13,437.29,164222,False,True
2024-03-15 12:50:00,433.5,433.56,432.95,432.99,73319,False,True
2024-03-18 15:50:00,438.58,438.58,437.56,437.59,227194,False,True
2024-03-19 12:40:00,437.37,438.08,437.28,438.05,109781,True,False
2024-03-20 14:00:00,438.76,441.08,438.76,440.869,342067,True,False
2024-03-21 09:30:00,448.88,448.97,448.05,448.16,217897,True,False
2024-03-22 13:50:00,447.07,447.39,447.07,447.3,61033,True,False
2024-03-25 09:35:00,443.85,443.97,443.27,443.34,56100,False,True
2024-03-26 09:30:00,446.3,446.76,445.86,446.76,165345,True,False
2024-03-26 15:30:00,444.89,444.92,444.07,444.3,136244,False,True
2024-03-27 15:40:00,444.17,444.64,444.09,444.6,135991,True,False
2024-04-01 09:30:00,444.97,446.19,444.55,446.15,148202,True,False
2024-04-02 09:30:00,440.08,440.2,439.45,439.63,296264,False,True
2024-04-02 15:35:00,440.79,441.06,440.79,441.05,82868,True,False
2024-04-04 12:05:00,446.45,446.83,446.45,446.75,143663,True,False
2024-04-04 14:15:00,443.38,443.41,442.41,442.63,198053,False,True
2024-04-04 15:55:00,436.36,436.43,435.11,435.25,848649,False,True
2024-04-08 12:20:00,440.32,440.36,439.58,439.75,69823,False,True
2024-04-09 10:30:00,440.36,440.38,439.01,439.36,256439,False,True
2024-04-09 15:55:00,441.25,442.33,441.23,442.26,484446,True,False
2024-04-11 09:30:00,440.26,440.48,439.31,440.32,204837,True,False
2024-04-11 13:00:00,441.29,442.37,440.87,442.24,124340,True,False
2024-04-15 12:30:00,437.31,437.31,436.57,436.79,96860,False,True
2024-04-15 15:00:00,431.28,431.44,430.7,430.71,115936,False,True
2024-04-17 10:50:00,430.62,430.63,428.46,428.72,124868,False,True
2024-04-18 09:30:00,426.49,426.61,425.32,425.54,151471,False,True
2024-04-18 13:15:00,424.39,424.58,423.62,424.04,115892,False,True
2024-04-19 09:35:00,421.74,421.91,420.75,420.96,114663,False,True
2024-04-19 12:05:00,417.16,417.23,416.52,416.86,76114,False,True
2024-04-19 15:40:00,414.04,414.065,413.15,413.65,145469,False,True
2024-04-26 09:30:00,427.62,428.565,426.92,428.5,319587,True,False
2024-04-29 09:30:00,433.11,433.75,432.83,433.48,129189,True,False
2024-05-02 10:05:00,422.64,422.81,420.63,420.979,84922,False,True
2024-05-02 14:05:00,425.87,426.5,425.74,426.42,32515,True,False
2024-05-03 09:30:00,434.45,434.63,433.5,433.96,218290,True,False
2024-05-06 09:30:00,437.32,437.36,436.52,437.12,122335,True,False
2024-05-06 15:45:00,439.2,439.55,439.06,439.45,107153,True,False
2024-05-10 09:30:00,442.51,443.5,442.13,443.46,172612,True,False
2024-05-13 10:00:00,442.91,443.22,442.79,443.19,57132,True,False
2024-05-14 10:20:00,443.05,444.35,443.03,444.35,79628,True,False
2024-05-14 14:55:00,445.78,446.03,445.745,445.9,50477,True,False
2024-05-15 11:05:00,449.94,450.51,449.935,450.34,71851,True,False
2024-05-15 14:10:00,452.82,453.04,452.71,453.0,74409,True,False
2024-05-20 09:50:00,453.45,454.37,453.45,454.37,103780,True,False
2024-05-21 15:15:00,455.29,455.43,455.195,455.35,65090,True,False
2024-05-22 14:00:00,455.17,455.18,453.53,454.2,142578,False,True
2024-05-23 09:30:00,460.56,460.58,459.37,459.47,207789,True,False
2024-05-23 13:35:00,456.92,456.94,455.64,455.72,81008,False,True
2024-05-24 10:15:00,456.0,456.6,455.98,456.55,40559,True,False
