time,open,high,low,close,buy,sell,netted_long_position,netted_short_position,netted_long_avg,netted_short_avg,buy_profit_cut,sell_profit_cut,buy_profit_cutoff,sell_profit_cutoff,buy_profit,sell_profit,lastDotAbove1Open,lastDotBelow1Open,count,avg,upArrow2,dnArrow2,upArrow2r,dnArrow2r
2024-07-18 11:03:00,6.15,6.15,6.15,6.15,False,False,0.0,0.0,0.0,0.0,0.0,0.0,False,False,0.0,0.0,,,0.0,0.0,False,False,False,False
2024-07-18 11:04:00,6.15,6.15,6.15,6.15,False,False,0.0,0.0,0.0,0.0,0.0,0.0,False,False,0.0,-0.0,,,0.0,0.0,False,False,False,False
2024-07-18 11:05:00,6.15,6.15,6.15,6.15,False,False,0.0,0.0,0.0,0.0,0.0,0.0,False,False,0.0,-0.0,,,0.0,0.0,False,False,False,False
2024-07-18 11:06:00,6.15,6.15,6.15,6.15,False,False,0.0,0.0,0.0,0.0,0.0,0.0,False,False,0.0,-0.0,,,0.0,0.0,False,False,False,False
2024-07-18 11:07:00,6.15,6.15,6.15,6.15,False,False,0.0,0.0,0.0,0.0,0.0,0.0,False,False,0.0,-0.0,,,0.0,0.0,False,False,False,False
2024-07-18 11:08:00,6.55,6.55,6.55,6.55,False,False,0.0,0.0,0.0,0.0,0.0,0.0,False,False,0.0,-0.0,,,0.0,0.0,False,False,False,False
2024-07-18 11:09:00,6.55,6.55,6.55,6.55,False,False,0.0,0.0,0.0,0.0,0.0,0.0,False,False,0.0,-0.0,,,0.0,0.0,False,False,False,False
2024-07-18 11:10:00,6.55,6.55,6.55,6.55,False,False,0.0,0.0,0.0,0.0,0.0,0.0,False,False,0.0,-0.0,,,0.0,0.0,False,False,False,False
2024-07-18 11:11:00,6.55,6.55,6.55,6.55,False,False,0.0,0.0,0.0,0.0,0.0,0.0,False,False,0.0,-0.0,,,0.0,0.0,False,False,False,False
2024-07-18 11:12:00,6.68,6.68,6.68,6.68,False,False,0.0,0.0,0.0,0.0,0.0,0.0,False,False,0.0,-0.0,,,0.0,0.0,False,False,False,False
2024-07-18 11:13:00,6.7,6.7,6.7,6.7,False,False,0.0,0.0,0.0,0.0,0.0,0.0,False,False,0.0,-0.0,,,0.0,0.0,False,False,False,False
2024-07-18 11:14:00,6.7,6.7,6.7,6.7,False,False,0.0,0.0,0.0,0.0,0.0,0.0,False,False,0.0,-0.0,,,0.0,0.0,False,False,False,False
2024-07-18 11:15:00,7.3,7.3,7.3,7.3,False,False,0.0,0.0,0.0,0.0,0.0,0.0,False,False,0.0,-0.0,,,0.0,0.0,False,False,False,False
2024-07-18 11:16:00,7.1,7.11,7.1,7.11,True,False,1.0,0.0,7.11,0.0,0.007110000000000001,0.0,False,False,0.0,-0.0,,,0.0,0.0,False,False,False,False
2024-07-18 11:17:00,7.09,7.09,7.09,7.09,False,False,1.0,0.0,7.11,0.0,0.007110000000000001,0.0,False,False,-0.020000000000000462,-0.0,,,0.0,0.0,False,False,False,False
2024-07-18 11:18:00,7.3,7.3,7.3,7.3,False,False,0.0,0.0,0.0,0.0,0.007110000000000001,0.0,True,False,0.1899999999999995,-0.0,,,0.0,0.0,False,False,False,False
2024-07-18 11:19:00,7.45,7.45,7.45,7.45,False,False,0.0,0.0,0.0,0.0,0.0,0.0,False,False,0.0,-0.0,7.45,,0.0,0.0,False,False,False,False
2024-07-18 11:20:00,7.6,7.65,7.6,7.65,True,False,1.0,0.0,7.65,0.0,0.0076500000000000005,0.0,False,False,0.0,-0.0,7.45,,0.0,0.0,False,False,False,False
2024-07-18 11:21:00,7.6,7.6,7.57,7.57,False,True,1.0,1.0,7.65,7.57,0.0076500000000000005,0.00757,False,False,-0.08000000000000007,0.0,7.45,,0.0,0.0,False,False,False,False
