time,open,high,low,close,Volume,upArrow2,dnArrow2
2024-03-06 12:10:00,441.26,441.75,441.26,441.66,54940,True,False
2024-03-07 14:00:00,446.57,446.66,446.16,446.61,60862,True,False
2024-03-11 09:30:00,437.51,437.84,435.84,435.99,471736,False,True
2024-03-12 10:45:00,442.06,442.65,441.89,442.65,174357,True,False
2024-03-14 13:10:00,438.46,438.61,438.0,438.23,36711,False,True
2024-03-18 10:10:00,439.9,440.45,439.89,440.02,108688,True,False
2024-03-20 14:00:00,438.76,441.08,438.76,440.869,342067,True,False
2024-04-01 09:35:00,446.16,447.27,446.16,447.19,175877,True,False
2024-04-02 09:35:00,439.6,440.15,439.1,439.17,177488,False,True
2024-04-04 09:30:00,446.35,446.58,446.05,446.53,307263,True,False
2024-04-04 15:00:00,438.84,438.84,437.53,437.64,302358,False,True
2024-04-09 10:40:00,438.94,439.28,437.69,438.04,229939,False,True
2024-04-11 11:55:00,440.59,441.61,440.54,441.49,114679,True,False
2024-04-15 12:20:00,438.36,438.56,437.22,437.29,67958,False,True
2024-04-17 11:25:00,429.13,429.44,428.53,428.53,71485,False,True
2024-04-19 09:30:00,422.22,422.23,421.08,421.69,233746,False,True
2024-04-25 09:30:00,419.24,419.36,418.14,418.29,333656,False,True
2024-04-26 09:30:00,427.62,428.565,426.92,428.5,319587,True,False
2024-05-01 13:15:00,421.19,421.29,421.0,421.02,33141,False,True
2024-05-03 09:30:00,434.45,434.63,433.5,433.96,218290,True,False
2024-05-06 15:50:00,439.45,439.81,439.23,439.8,145825,True,False
2024-05-10 09:30:00,442.51,443.5,442.13,443.46,172612,True,False
2024-05-14 14:10:00,444.45,445.15,444.4,445.1,72020,True,False
2024-05-16 10:40:00,453.62,453.87,453.54,453.84,44840,True,False
2024-05-20 12:50:00,455.03,455.42,455.03,455.36,33555,True,False
2024-05-23 09:30:00,460.56,460.58,459.37,459.47,207789,True,False
