time,open,high,low,close,Volume,count,avg,upArrow2,dnArrow2,upArrow2r,dnArrow2r
2023-05-23 12:40:00,335.27,335.32,334.81,334.9,177429,-6,-5.733297169887623,False,True,False,True
2023-05-25 09:30:00,339.16,339.42,337.53,337.75,722338,8,3.514381261204907,True,False,True,False
2023-05-26 10:00:00,343.15,343.78,343.05,343.54,233743,6,4.535884871683862,True,False,True,False
2023-05-30 09:30:00,352.71,353.18,351.89,352.82,414506,6,2.0794994925368906,True,False,True,False
2023-05-31 11:30:00,346.87,346.91,346.535,346.655,105733,-8,-5.277730215396538,False,True,False,True
2023-06-01 13:10:00,351.6,352.0,351.56,352.0,43704,4,5.0370725405812,True,False,False,False
2023-06-05 11:30:00,356.96,357.34,356.93,357.2,80631,8,4.539013165124255,True,False,True,False
2023-06-07 10:40:00,353.44,353.48,352.53,352.53,225305,-2,-1.1898528590270694,False,True,False,True
2023-06-09 09:30:00,354.62,355.35,354.54,355.28,237442,8,5.903558230378022,True,False,True,False
2023-06-12 14:45:00,358.47,358.77,358.4,358.735,46427,10,6.722335975912137,True,False,True,False
2023-06-14 11:20:00,365.51,366.04,365.4,366.0,113130,8,5.362038075612116,True,False,True,False
2023-06-15 14:30:00,369.76,370.05,369.68,370.005,129591,8,4.236082054423992,True,False,True,False
2023-06-20 09:55:00,366.99,367.18,366.27,366.28,124161,-6,-6.05252378147465,False,True,False,False
2023-06-21 11:15:00,361.37,361.49,361.0,361.01,128408,-8,-6.08818417989917,False,True,False,True
2023-06-22 15:50:00,365.73,366.215,365.67,366.215,213126,6,3.828758445068827,True,False,True,False
2023-06-26 12:25:00,359.53,359.58,359.09,359.15,103081,-6,-6.4818151618360025,False,True,False,False
2023-06-27 13:55:00,363.75,363.96,363.6,363.94,49474,6,6.70617325747105,True,False,False,False
2023-06-30 09:30:00,367.55,368.0,367.24,367.8,355903,6,-1.8689320142364043,True,False,True,False
2023-07-06 09:30:00,366.53,366.96,365.52,365.64,604201,-6,-0.43096863515759964,False,True,False,True
2023-07-07 13:05:00,370.0,370.13,369.98,370.05,57659,8,5.205765180673485,True,False,True,False
2023-07-12 09:30:00,372.35,372.66,371.94,372.37,470236,6,2.0302024538424357,True,False,True,False
