time,open,high,low,close
2024-07-17 15:31:00,4.59,4.62,4.55,4.57
2024-07-17 15:32:00,4.55,4.55,4.5,4.5
2024-07-17 15:33:00,4.55,4.55,4.55,4.55
2024-07-17 15:34:00,4.55,4.55,4.55,4.55
2024-07-17 15:35:00,4.72,4.72,4.7,4.7
2024-07-17 15:36:00,4.85,4.85,4.85,4.85
2024-07-17 15:37:00,4.85,4.85,4.85,4.85
2024-07-17 15:38:00,4.75,4.76,4.7,4.7
2024-07-17 15:39:00,4.78,4.78,4.7,4.72
2024-07-17 15:40:00,4.75,4.79,4.75,4.79
2024-07-17 15:41:00,4.75,4.75,4.65,4.75
2024-07-17 15:42:00,4.75,4.75,4.75,4.75
2024-07-17 15:43:00,4.8,4.86,4.8,4.86
2024-07-17 15:44:00,4.81,4.95,4.81,4.94
2024-07-17 15:45:00,4.91,4.91,4.91,4.91
2024-07-17 15:46:00,4.84,4.87,4.84,4.87
2024-07-17 15:47:00,4.95,4.95,4.84,4.86
2024-07-17 15:48:00,4.86,4.86,4.86,4.86
2024-07-17 15:49:00,5.05,5.05,5.03,5.03
2024-07-17 15:50:00,4.9,4.9,4.85,4.89
2024-07-17 15:51:00,5.1,5.1,5.1,5.1
2024-07-17 15:52:00,4.88,4.93,4.88,4.93
2024-07-17 15:53:00,4.95,5.0,4.95,5.0
2024-07-17 15:54:00,4.94,5.0,4.94,5.0
2024-07-17 15:55:00,5.01,5.1,5.01,5.1
2024-07-17 15:56:00,5.05,5.05,4.96,5.0
2024-07-17 15:57:00,4.93,5.0,4.9,4.96
2024-07-17 15:58:00,5.1,5.1,5.02,5.1
2024-07-17 15:59:00,5.12,5.15,5.1,5.1
2024-07-17 16:00:00,5.1,5.25,5.1,5.25
2024-07-18 09:31:00,3.05,3.7,2.8,2.8
2024-07-18 09:32:00,2.86,2.99,2.8,2.93
2024-07-18 09:33:00,2.92,3.15,2.89,2.97
2024-07-18 09:34:00,2.9,3.07,2.88,3.07
2024-07-18 09:35:00,3.1,3.31,3.05,3.15
2024-07-18 09:36:00,3.15,3.2,3.1,3.2
2024-07-18 09:37:00,3.2,3.45,3.2,3.43
2024-07-18 09:38:00,3.4,3.6,3.4,3.4
2024-07-18 09:39:00,3.5,3.5,3.37,3.4
2024-07-18 09:40:00,3.35,3.45,3.35,3.4
2024-07-18 09:41:00,3.44,3.76,3.42,3.76
2024-07-18 09:42:00,3.72,3.92,3.65,3.92
2024-07-18 09:43:00,3.9,4.0,3.8,3.95
2024-07-18 09:44:00,3.97,4.25,3.97,4.24
2024-07-18 09:45:00,4.2,4.3,4.05,4.3
2024-07-18 09:46:00,4.34,4.43,4.33,4.36
2024-07-18 09:47:00,4.3,4.35,4.19,4.19
2024-07-18 09:48:00,4.05,4.05,3.97,4.01
2024-07-18 09:49:00,4.0,4.0,3.9,3.95
2024-07-18 09:50:00,3.99,4.06,3.85,3.85
2024-07-18 09:51:00,3.8,3.83,3.65,3.65
2024-07-18 09:52:00,3.7,3.86,3.65,3.86
2024-07-18 09:53:00,3.85,3.99,3.79,3.96
2024-07-18 09:54:00,3.91,4.0,3.91,3.95
2024-07-18 09:55:00,4.05,4.1,3.9,4.09
2024-07-18 09:56:00,4.0,4.05,3.7,3.7
2024-07-18 09:57:00,3.75,3.9,3.75,3.9
2024-07-18 09:58:00,3.84,3.85,3.6,3.6
2024-07-18 09:59:00,3.66,3.8,3.66,3.75
2024-07-18 10:00:00,3.7,3.8,3.69,3.69
2024-07-18 10:01:00,3.7,3.8,3.55,3.73
2024-07-18 10:02:00,3.8,3.8,3.7,3.77
2024-07-18 10:03:00,3.8,3.8,3.75,3.8
2024-07-18 10:04:00,3.75,3.8,3.45,3.5
2024-07-18 10:05:00,3.44,3.46,3.33,3.45
2024-07-18 10:06:00,3.5,3.5,3.3,3.3
2024-07-18 10:07:00,3.3,3.3,3.15,3.3
2024-07-18 10:08:00,3.32,3.35,3.3,3.3
2024-07-18 10:09:00,3.2,3.31,3.2,3.25
2024-07-18 10:10:00,3.3,3.4,3.15,3.15
2024-07-18 10:11:00,3.2,3.27,3.1,3.2
2024-07-18 10:12:00,3.25,3.3,3.16,3.22
2024-07-18 10:13:00,3.2,3.25,3.16,3.25
2024-07-18 10:14:00,3.25,3.25,3.19,3.2
2024-07-18 10:15:00,3.25,3.4,3.25,3.4
2024-07-18 10:16:00,3.4,3.4,3.3,3.35
2024-07-18 10:17:00,3.33,3.33,3.2,3.2
2024-07-18 10:18:00,3.2,3.3,3.2,3.25
2024-07-18 10:19:00,3.2,3.35,3.2,3.35
2024-07-18 10:20:00,3.35,3.4,3.35,3.38
2024-07-18 10:21:00,3.41,3.5,3.41,3.5
2024-07-18 10:22:00,3.5,3.6,3.45,3.55
2024-07-18 10:23:00,3.57,3.6,3.5,3.6
2024-07-18 10:24:00,3.5,3.55,3.4,3.41
2024-07-18 10:25:00,3.4,3.4,3.32,3.4
2024-07-18 10:26:00,3.45,3.5,3.45,3.45
2024-07-18 10:27:00,3.5,3.6,3.5,3.6
2024-07-18 10:28:00,3.6,3.8,3.58,3.77
2024-07-18 10:29:00,3.78,3.85,3.75,3.75
2024-07-18 10:30:00,3.85,3.9,3.83,3.87
2024-07-18 10:31:00,3.86,4.0,3.85,3.95
2024-07-18 10:32:00,4.01,4.2,4.01,4.18
2024-07-18 10:33:00,4.2,4.3,4.17,4.3
2024-07-18 10:34:00,4.25,4.26,4.14,4.2
2024-07-18 10:35:00,4.23,4.3,4.15,4.2
2024-07-18 10:36:00,4.25,4.45,4.25,4.45
2024-07-18 10:37:00,4.4,4.45,4.33,4.45
2024-07-18 10:38:00,4.5,4.55,4.35,4.35
2024-07-18 10:39:00,4.42,4.5,4.3,4.45
2024-07-18 10:40:00,4.45,4.61,4.42,4.61
2024-07-18 10:41:00,4.6,4.85,4.6,4.84
2024-07-18 10:42:00,4.86,5.0,4.85,5.0
2024-07-18 10:43:00,5.1,5.15,5.0,5.13
2024-07-18 10:44:00,5.1,5.2,5.03,5.2
2024-07-18 10:45:00,5.25,5.26,5.0,5.12
2024-07-18 10:46:00,5.05,5.2,4.95,5.12
2024-07-18 10:47:00,5.07,5.15,5.05,5.05
2024-07-18 10:48:00,5.06,5.15,4.83,4.85
2024-07-18 10:49:00,4.85,4.85,4.65,4.66
2024-07-18 10:50:00,4.5,4.56,4.5,4.5
2024-07-18 10:51:00,4.55,4.58,4.4,4.4
2024-07-18 10:52:00,4.36,4.4,4.29,4.4
2024-07-18 10:53:00,4.45,4.6,4.45,4.48
2024-07-18 10:54:00,4.35,4.37,4.3,4.3
2024-07-18 10:55:00,4.25,4.25,4.0,4.1
2024-07-18 10:56:00,4.12,4.15,4.02,4.08
2024-07-18 10:57:00,4.09,4.2,4.08,4.2
2024-07-18 10:58:00,4.2,4.2,4.1,4.1
2024-07-18 10:59:00,4.18,4.35,4.17,4.35
2024-07-18 11:00:00,4.35,4.47,4.35,4.39
2024-07-18 11:01:00,4.42,4.51,4.37,4.42
2024-07-18 11:02:00,4.35,4.36,4.33,4.33
2024-07-18 11:03:00,4.35,4.4,4.35,4.35
2024-07-18 11:04:00,4.4,4.4,4.4,4.4
2024-07-18 11:05:00,4.45,4.45,4.35,4.4
2024-07-18 11:06:00,4.45,4.55,4.45,4.5
2024-07-18 11:07:00,4.66,4.66,4.6,4.65
2024-07-18 11:08:00,4.7,4.7,4.65,4.67
2024-07-18 11:09:00,4.75,4.75,4.75,4.75
2024-07-18 11:10:00,4.83,4.9,4.83,4.9
2024-07-18 11:11:00,4.87,4.9,4.85,4.9
2024-07-18 11:12:00,4.9,4.9,4.78,4.78
2024-07-18 11:13:00,4.84,4.95,4.84,4.95
2024-07-18 11:14:00,5.0,5.2,4.97,5.2
2024-07-18 11:15:00,5.26,5.4,5.26,5.4
2024-07-18 11:16:00,5.35,5.4,5.15,5.2
2024-07-18 11:17:00,5.19,5.25,5.19,5.22
2024-07-18 11:18:00,5.3,5.5,5.3,5.5
2024-07-18 11:19:00,5.55,5.6,5.46,5.6
2024-07-18 11:20:00,5.7,5.7,5.7,5.7
2024-07-18 11:21:00,5.7,5.75,5.55,5.75
2024-07-18 11:22:00,5.75,5.8,5.63,5.77
2024-07-18 11:23:00,5.76,5.8,5.68,5.8
2024-07-18 11:24:00,5.75,5.88,5.7,5.88
2024-07-18 11:25:00,5.87,5.94,5.75,5.9
2024-07-18 11:26:00,5.8,5.8,5.65,5.65
2024-07-18 11:27:00,5.55,5.75,5.55,5.74
2024-07-18 11:28:00,5.8,5.8,5.7,5.8
2024-07-18 11:29:00,5.85,5.95,5.78,5.95
2024-07-18 11:30:00,5.95,5.95,5.75,5.75
2024-07-18 11:31:00,5.8,5.8,5.78,5.78
2024-07-18 11:32:00,5.75,5.77,5.75,5.77
2024-07-18 11:33:00,5.7,5.7,5.6,5.6
2024-07-18 11:34:00,5.65,5.8,5.65,5.8
2024-07-18 11:35:00,5.75,5.75,5.4,5.4
2024-07-18 11:36:00,5.45,5.45,5.25,5.39
2024-07-18 11:37:00,5.28,5.31,5.23,5.23
2024-07-18 11:38:00,5.15,5.15,5.0,5.0
2024-07-18 11:39:00,5.0,5.0,4.9,4.95
2024-07-18 11:40:00,4.9,4.9,4.65,4.65
2024-07-18 11:41:00,4.65,4.93,4.6,4.9
2024-07-18 11:42:00,4.93,5.05,4.93,5.05
2024-07-18 11:43:00,4.95,4.96,4.77,4.77
2024-07-18 11:44:00,4.75,4.8,4.66,4.8
2024-07-18 11:45:00,4.76,4.8,4.75,4.8
2024-07-18 11:46:00,4.8,4.8,4.65,4.67
2024-07-18 11:47:00,4.65,4.75,4.65,4.75
2024-07-18 11:48:00,4.75,4.8,4.75,4.8
2024-07-18 11:49:00,4.94,4.95,4.87,4.9
2024-07-18 11:50:00,4.9,4.9,4.8,4.8
2024-07-18 11:51:00,5.05,5.13,5.05,5.07
2024-07-18 11:52:00,4.9,4.9,4.72,4.75
2024-07-18 11:53:00,4.8,4.8,4.75,4.75
2024-07-18 11:54:00,4.85,4.85,4.85,4.85
2024-07-18 11:55:00,4.9,4.95,4.9,4.95
2024-07-18 11:56:00,5.04,5.05,5.04,5.05
2024-07-18 11:57:00,4.83,4.84,4.83,4.84
2024-07-18 11:58:00,4.89,4.89,4.75,4.75
2024-07-18 11:59:00,4.85,4.85,4.75,4.75
2024-07-18 12:00:00,4.78,5.0,4.78,5.0
2024-07-18 12:01:00,5.05,5.05,5.05,5.05
2024-07-18 12:02:00,5.05,5.05,5.05,5.05
2024-07-18 12:03:00,5.1,5.1,5.1,5.1
2024-07-18 12:04:00,5.2,5.2,5.1,5.1
2024-07-18 12:05:00,5.2,5.21,5.1,5.2
2024-07-18 12:06:00,5.05,5.05,4.95,4.95
2024-07-18 12:07:00,4.9,4.9,4.8,4.83
2024-07-18 12:08:00,4.78,4.8,4.65,4.65
2024-07-18 12:09:00,4.6,4.6,4.5,4.5
2024-07-18 12:10:00,4.31,4.31,4.31,4.31
2024-07-18 12:11:00,4.35,4.4,4.3,4.35
2024-07-18 12:12:00,4.4,4.4,4.3,4.4
2024-07-18 12:13:00,4.38,4.45,4.38,4.45
2024-07-18 12:14:00,4.4,4.4,4.35,4.35
2024-07-18 12:15:00,4.35,4.4,4.3,4.31
2024-07-18 12:16:00,4.4,4.4,4.35,4.4
2024-07-18 12:17:00,4.35,4.35,4.35,4.35
2024-07-18 12:18:00,4.5,4.53,4.5,4.5
2024-07-18 12:19:00,4.5,4.65,4.5,4.65
2024-07-18 12:20:00,4.65,4.65,4.55,4.6
2024-07-18 12:21:00,4.5,4.5,4.5,4.5
2024-07-18 12:22:00,4.5,4.5,4.5,4.5
2024-07-18 12:23:00,4.49,4.5,4.49,4.5
2024-07-18 12:24:00,4.48,4.56,4.48,4.56
2024-07-18 12:25:00,4.55,4.55,4.53,4.53
2024-07-18 12:26:00,4.4,4.42,4.4,4.42
2024-07-18 12:27:00,4.4,4.45,4.35,4.45
2024-07-18 12:28:00,4.3,4.3,4.26,4.26
2024-07-18 12:29:00,4.35,4.35,4.2,4.31
2024-07-18 12:30:00,4.25,4.25,4.2,4.21
2024-07-18 12:31:00,4.2,4.2,4.2,4.2
2024-07-18 12:32:00,4.17,4.2,4.13,4.2
2024-07-18 12:33:00,4.15,4.15,4.1,4.1
2024-07-18 12:34:00,4.2,4.35,4.2,4.31
2024-07-18 12:35:00,4.24,4.3,4.1,4.1
2024-07-18 12:36:00,4.1,4.11,4.1,4.11
2024-07-18 12:37:00,4.09,4.09,4.02,4.02
2024-07-18 12:38:00,4.01,4.02,3.95,3.95
2024-07-18 12:39:00,4.0,4.0,3.95,3.95
2024-07-18 12:40:00,3.95,3.95,3.86,3.86
2024-07-18 12:41:00,3.85,3.9,3.85,3.88
2024-07-18 12:42:00,3.99,3.99,3.95,3.99
2024-07-18 12:43:00,3.95,3.95,3.8,3.8
2024-07-18 12:44:00,3.75,3.75,3.6,3.7
2024-07-18 12:45:00,3.8,3.82,3.75,3.75
2024-07-18 12:46:00,3.8,3.8,3.78,3.78
2024-07-18 12:47:00,3.76,3.8,3.76,3.8
2024-07-18 12:48:00,3.75,3.9,3.7,3.89
2024-07-18 12:49:00,3.9,3.95,3.85,3.9
2024-07-18 12:50:00,3.9,3.9,3.89,3.9
