time,open,high,low,close
2024-07-17 14:57:00,5.7,5.75,5.7,5.75
2024-07-17 14:58:00,5.75,5.75,5.75,5.75
2024-07-17 14:59:00,5.75,5.75,5.75,5.75
2024-07-17 15:00:00,5.68,5.68,5.68,5.68
2024-07-17 15:01:00,5.68,5.68,5.68,5.68
2024-07-17 15:02:00,5.68,5.68,5.68,5.68
2024-07-17 15:03:00,5.68,5.68,5.68,5.68
2024-07-17 15:04:00,5.68,5.68,5.68,5.68
2024-07-17 15:05:00,5.5,5.5,5.45,5.45
2024-07-17 15:06:00,5.45,5.45,5.45,5.45
2024-07-17 15:07:00,5.45,5.45,5.45,5.45
2024-07-17 15:08:00,5.45,5.47,5.45,5.47
2024-07-17 15:09:00,5.4,5.4,5.35,5.35
2024-07-17 15:10:00,5.35,5.35,5.35,5.35
2024-07-17 15:11:00,5.32,5.32,5.32,5.32
2024-07-17 15:12:00,5.32,5.32,5.32,5.32
2024-07-17 15:13:00,5.42,5.48,5.42,5.47
2024-07-17 15:14:00,5.47,5.47,5.47,5.47
2024-07-17 15:15:00,5.47,5.47,5.47,5.47
2024-07-17 15:16:00,5.4,5.4,5.4,5.4
2024-07-17 15:17:00,5.4,5.4,5.4,5.4
2024-07-17 15:18:00,5.63,5.63,5.63,5.63
2024-07-17 15:19:00,5.56,5.56,5.56,5.56
2024-07-17 15:20:00,5.56,5.56,5.56,5.56
2024-07-17 15:21:00,5.55,5.55,5.45,5.45
2024-07-17 15:22:00,5.45,5.45,5.45,5.45
2024-07-17 15:23:00,5.45,5.45,5.45,5.45
2024-07-17 15:24:00,5.45,5.45,5.45,5.45
2024-07-17 15:25:00,5.45,5.45,5.45,5.45
2024-07-17 15:26:00,5.45,5.45,5.45,5.45
2024-07-17 15:27:00,5.39,5.39,5.39,5.39
2024-07-17 15:28:00,5.39,5.39,5.39,5.39
2024-07-17 15:29:00,5.39,5.39,5.39,5.39
2024-07-17 15:30:00,5.39,5.39,5.39,5.39
2024-07-17 15:31:00,5.13,5.13,5.13,5.13
2024-07-17 15:32:00,5.05,5.1,5.05,5.1
2024-07-17 15:33:00,5.17,5.17,5.17,5.17
